Product Id,Variant Id,Handle,Title,Body (Html),Vendor,Type,Tags,Published,Option Fulfill Value,Custom Option,Option1 Name,Option1 Value,Option2 Name,Option2 Value,Option3 Name,Option3 Value,Variant Sku,Variant Grams,Variant Inventory Tracker,Variant Inventory Qty,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Compare At Price,Variant Requires Shipping,Variant Taxable,Variant Barcode,Image Src,Image Position,Image Alt Text,Gift Card,Google Shopping / Mpn,Google Shopping / Age Group,Google Shopping / Gender,Google Shopping / Google Product Category,Seo Title,Seo Description,Google Shopping / Adwords Grouping,Google Shopping / Adwords Labels,Google Shopping / Condition,Google Shopping / Custom Product,Google Shopping / Custom Label 0,Google Shopping / Custom Label 1,Google Shopping / Custom Label 2,Google Shopping / Custom Label 3,Google Shopping / Custom Label 4,Variant Image,Variant Weight Unit,Variant Tax Code,Cost Per Item,Available On Listing Pages,Available On Sitemap Files,Template,Shipping Profile Name,Variant Tag,Facebook Pixel Id,Facebook Access Token,Product Stock Status,Shipping Fee,Base Cost Variant
'1000000665918869','1000020410860982',santas-elves-youth-leggings,Santa's Elves Youth Leggings,"<p>Who is Santa without his elves? Nobody if you ask us. That's why we created these fun DAKOfits Santa's Elves Youth Leggings. Featuring a classic Christmas color scheme of red, green and white, these colorful and vibrant leggings will have you feeling the cheerful Christmas spirit as soon as you put them on. The festive print wraps around the leg, ensuring a joyful look from every angle.</p>
<h2>Why You'll Love It</h2>
<ul>
 <li>Full-length coverage for confident movement during any activity.</li>
 <li>Squat-proof fabric ensures zero transparency, so you can focus on your workout.</li>
 <li>Buttery-soft fabric feels like a second skin, providing all-day comfort.</li>
 <li>Designed with a comfortable waistband that stays in place, whether you're doing yoga or running errands.</li>
 <li>Perfect for yoga, gym workouts, running, or everyday wear, these leggings offer versatility.</li>
 <li>The vibrant Santa's Elves print wraps around the entire leg for a fun, eye-catching look.</li>
 <li>Four-way stretch fabric moves with you, providing unrestricted movement.</li>
 <li>Easy care: machine wash cold, tumble dry low.</li>
</ul>
<h2>You Might Also Like</h2>
<ul>
  <li><a href=""/products/santas-elves-sports-bra"" style=""color: #00d1b5; text-decoration: underline;"">Santa's Elves Sports Bra</a></li>
  <li><a href=""/products/santas-elves-yoga-shorts"" style=""color: #00d1b5; text-decoration: underline;"">Santa's Elves Yoga Shorts</a></li>
  <li><a href=""/products/santas-elves-meggings"" style=""color: #00d1b5; text-decoration: underline;"">Santa's Elves Meggings</a></li>
</ul>",DAKOfits,Youth Leggings,"active kids,active wear,activewear,black,bright,bright green,bright red,christmas,christmas elves,colorful,colorful and vibrant,colorful vibrant,crossfit,dance,dancewear,dark green,dark red,deep green,deep red,elf,elves,fit kid,fitness,green,gym,gym / workout,gymwear,kids,kids leggings,petite,red,santa's helpers,sport,sports,sports wear,sportswear,vibrant,white,xmas,yoga,yoga wear,yogawear,youth,youth leggings,zen,zen yoga",TRUE,,,Size,14,,,,,,104,shopbase,100,continue,manual,59.99,71.99,true,TRUE,,https://img.btdmp.com/10685/10685143/products/origin/gexdmobvgeAdgmrqgaBdqmjzgexdambqgaxdmnrvhextqobwhextaojygqBdembt.jpeg,1,Women's Santa's Elves printed leggings front view,,,,,,,,,,,,,,,,,https://img.btdmp.com/10685/10685143/products/origin/gexdmobvgeAdgmrqgaBdqmjzgexdambqgaxdmnrvhextqobwhextaojygqBdembt.jpeg,lb,,0,TRUE,TRUE,Default,,,,,,,
'1000000665918869','1000020410860983',santas-elves-youth-leggings,,,,,,,,,,16,,,,,,108,shopbase,100,continue,manual,59.99,71.99,true,TRUE,,https://img.btdmp.com/10685/10685143/products/origin/gexdmobvgeAdgmrqgaBdqmjzgexdambqgaxdmnrvhextqobwhextaojygqBdembq.jpeg,2,,,,,,,,,,,,,,,,,,https://img.btdmp.com/10685/10685143/products/origin/gexdmobvgeAdgmrqgaBdqmjzgexdambqgaxdmnrvhextqobwhextaojygqBdembt.jpeg,lb,,0,,,,,,,,,0,0
'1000000665918869','1000020410860984',santas-elves-youth-leggings,,,,,,,,,,8,,,,,,88,shopbase,100,continue,manual,59.99,71.99,true,TRUE,,https://img.btdmp.com/10685/10685143/products/origin/gexdmobvgeAdgmrqgaBdqmjzgexdambqgaxdmnrvhextqobwhextaojygqBdembr.jpeg,3,,,,,,,,,,,,,,,,,,https://img.btdmp.com/10685/10685143/products/origin/gexdmobvgeAdgmrqgaBdqmjzgexdambqgaxdmnrvhextqobwhextaojygqBdembt.jpeg,lb,,0,,,,,,,,,0,0
'1000000665918869','1000020410860985',santas-elves-youth-leggings,,,,,,,,,,10,,,,,,94,shopbase,100,continue,manual,59.99,71.99,true,TRUE,,https://img.btdmp.com/10685/10685143/products/origin/gexdmobvgeAdgmrqgaBdqmjzgexdambqgaxdmnrvhextqobwhextaojygqBdembs.jpeg,4,,,,,,,,,,,,,,,,,,https://img.btdmp.com/10685/10685143/products/origin/gexdmobvgeAdgmrqgaBdqmjzgexdambqgaxdmnrvhextqobwhextaojygqBdembt.jpeg,lb,,0,,,,,,,,,0,0
'1000000665918869','1000020410860986',santas-elves-youth-leggings,,,,,,,,,,18,,,,,,116,shopbase,100,continue,manual,59.99,71.99,true,TRUE,,,,,,,,,,,,,,,,,,,,,https://img.btdmp.com/10685/10685143/products/origin/gexdmobvgeAdgmrqgaBdqmjzgexdambqgaxdmnrvhextqobwhextaojygqBdembt.jpeg,lb,,0,,,,,,,,,0,0
'1000000665918869','1000020410860987',santas-elves-youth-leggings,,,,,,,,,,12,,,,,,100,shopbase,100,continue,manual,59.99,71.99,true,TRUE,,,,,,,,,,,,,,,,,,,,,https://img.btdmp.com/10685/10685143/products/origin/gexdmobvgeAdgmrqgaBdqmjzgexdambqgaxdmnrvhextqobwhextaojygqBdembt.jpeg,lb,,0,,,,,,,,,0,0
'1000000665918869','1000020410860988',santas-elves-youth-leggings,,,,,,,,,,20,,,,,,120,shopbase,100,continue,manual,59.99,71.99,true,TRUE,,,,,,,,,,,,,,,,,,,,,https://img.btdmp.com/10685/10685143/products/origin/gexdmobvgeAdgmrqgaBdqmjzgexdambqgaxdmnrvhextqobwhextaojygqBdembt.jpeg,lb,,0,,,,,,,,,0,0
'1000000665918871','1000020410861003',christmas-flamingo-patterned-biker-shorts,Christmas Flamingo Patterned Bike Shorts,"<p>Spread some holiday cheer with a touch of tropical whimsy in our Christmas Flamingo Patterned Bike Shorts. These playful shorts feature adorable pink flamingos sporting Santa hats and boots against a teal green backdrop. They're the perfect way to inject some fun into your workouts or casual outings. Wear them to express your unique style and festive spirit.</p>
<h2>Why You'll Love It</h2>
<ul>
  <li>These bike shorts offer freedom of movement and breathability for all activities.</li>
  <li>Ideal thigh coverage for HIIT, cycling, and outdoor workouts.</li>
  <li>Buttery-soft fabric feels like a second skin, keeping you comfortable all day long.</li>
  <li>Squat-proof fabric ensures confidence during any exercise.</li>
  <li>Four-way stretch allows for maximum flexibility and a full range of motion.</li>
  <li>Wide, comfortable waistband stays in place without digging or rolling.</li>
  <li>Easy care: Machine wash cold, tumble dry low.</li>
  <li>Made from a blend of high-quality materials for durability and lasting color (82% polyester, 18% spandex).</li>
</ul>
<h2>You Might Also Like</h2>
<ul>
  <li><a href=""/products/christmas-flamingo-patterned-youth-leggings"" style=""color: #00d1b5; text-decoration: underline;"">Christmas Flamingo Patterned Youth Leggings</a></li>
  <li><a href=""/products/christmas-flamingo-patterned-meggings"" style=""color: #00d1b5; text-decoration: underline;"">Christmas Flamingo Patterned Meggings</a></li>
  <li><a href=""/products/christmas-flamingo-patterned-sports-bra"" style=""color: #00d1b5; text-decoration: underline;"">Christmas Flamingo Patterned Sports Bra</a></li>
</ul>
<h2>From the Blog</h2>
<ul>
<li><a href=""/blogs/news/how-to-know-if-your-leggings-are-squat-proof"" style=""color: #00d1b5; text-decoration: underline;"">How to Know if your Leggings are Squat Proof</a></li>
<li><a href=""/blogs/news/healthy-new-years-resolutions-post-christmas-detox-plan"" style=""color: #00d1b5; text-decoration: underline;"">Healthy New Year's Resolutions: Post-Christmas Detox Plan</a></li>
</ul>

<!--rfx4-related-orphans-->
<p><strong>You may also like:</strong> <a href=""https://DAKOfits.com/products/vibrant-flamingo-flock-bike-shorts"">Vibrant Flamingo Flock Bike Shorts</a></p>
",DAKOfits,Bike Shorts,"active wear,activewear,baby pink,bike shorts,biker shorts,black,bright,bright red,christmas,colorful,colorful and vibrant,colorful vibrant,crossfit,dance,dancewear,fitness,flamingo,gym,gym / workout,gymwear,high waisted,pastel pink,pink,red,santa hat,santa's hat,short,shorts,soft pink,sport,sports,sports shorts,sports wear,sportswear,teal,vibrant,white,xmas,yoga,yoga wear,yogawear,zen,zen yoga",TRUE,,,Size,XS,,,,,,120,shopbase,100,continue,manual,79.99,95.99,true,TRUE,,https://img.btdmp.com/10685/10685143/products/origin/gexdmobvgeAdgmrqgaBdqmjzgexdambqgaxdmnrvhextqobygextaojygqBdemjt.jpeg,1,Women's christmas flamingo patterned bike shorts front view,,,,,,,,,,,,,,,,,https://img.btdmp.com/10685/10685143/products/origin/gexdmobvgeAdgmrqgaBdqmjzgexdambqgaxdmnrvhextqobygextaojygqBdemjt.jpeg,lb,,0,TRUE,TRUE,Default,,,,,,,
'1000000665918871','1000020410861004',christmas-flamingo-patterned-biker-shorts,,,,,,,,,,S,,,,,,130,shopbase,100,continue,manual,79.99,95.99,true,TRUE,,https://img.btdmp.com/10685/10685143/products/origin/gexdmobvgeAdgmrqgaBdqmjzgexdambqgaxdmnrvhextqobygextaojygqBdembu.jpeg,2,,,,,,,,,,,,,,,,,,https://img.btdmp.com/10685/10685143/products/origin/gexdmobvgeAdgmrqgaBdqmjzgexdambqgaxdmnrvhextqobygextaojygqBdemjt.jpeg,lb,,0,,,,,,,,,0,0
'1000000665918871','1000020410861005',christmas-flamingo-patterned-biker-shorts,,,,,,,,,,M,,,,,,140,shopbase,100,continue,manual,79.99,95.99,true,TRUE,,https://img.btdmp.com/10685/10685143/products/origin/gexdmobvgeAdgmrqgaBdqmjzgexdambqgaxdmnrvhextqobygextaojygqBdembv.jpeg,3,,,,,,,,,,,,,,,,,,https://img.btdmp.com/10685/10685143/products/origin/gexdmobvgeAdgmrqgaBdqmjzgexdambqgaxdmnrvhextqobygextaojygqBdemjt.jpeg,lb,,0,,,,,,,,,0,0
